Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
JP9002,Monday,2015-02-02,19:45:00,21:00:00,Richmond Girls Juvenile C1,North Shore Winter Club Female Juvenile C1,Richmond Olympic Oval South,Juvenile,Black Group,Playoffs C Leagues,Richmond Girls
MP9507,Monday,2015-02-02,19:45:00,21:00:00,Richmond Girls Midget C2,Tri Cities Female Midget C3,Richmond Ice Centre Pond,Midget,Red Group,Playoffs C Leagues,Richmond Girls
MP9508,Monday,2015-02-02,19:45:00,21:15:00,South Delta Female Midget C1,Surrey Female Midget C1,Tilbury Ice,Midget,Red Group,Playoffs C Leagues,South Delta
PP9305,Tuesday,2015-02-03,18:15:00,19:30:00,Tri Cities Female Peewee C1,Langley Girls Peewee C1,Planet Ice Coquitlam 2 Pluto,Peewee,Black Group,Playoffs C Leagues,Tri Cities Female
BP9304,Tuesday,2015-02-03,18:45:00,20:00:00,Tri Cities Female Bantam C1,South Delta Female Bantam C1,Planet Ice Coquitlam 3 Venus,Bantam,Black Group,Playoffs C Leagues,Tri Cities Female
BP9703,Tuesday,2015-02-03,19:15:00,20:30:00,Langley Girls Bantam C1,Meadow Ridge Female Bantam C1,Langley Sportsplex 1,Bantam,Blue Group,Playoffs C Leagues,Langley Girls
PP9704,Tuesday,2015-02-03,19:45:00,21:00:00,Vancouver Girls Peewee C2,Meadow Ridge Female Peewee C1,Killarney Community Centre,Peewee,Blue Group,Playoffs C Leagues,Vancouver Girls
MP9305,Tuesday,2015-02-03,20:15:00,21:30:00,North Shore Female Midget C1,Richmond Girls Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Playoffs C Leagues,North Shore Female
PP9007,Wednesday,2015-02-04,18:00:00,19:15:00,Surrey Female Peewee A1,Tri Cities Female Peewee A1,Cloverdale Arena,Peewee,Flight 1,Playoffs Rep,Surrey Female
PP9018,Wednesday,2015-02-04,18:30:00,19:45:00,Richmond Girls Peewee A2,Abbotsford Female Peewee A1,Richmond Ice Centre Coliseum,Peewee,Flight 1,Playoffs Rep,Richmond Girls
PP9008,Thursday,2015-02-05,18:15:00,19:30:00,North Shore Female Peewee A1,Richmond Girls Peewee A1,Harry Jerome Rec Centre,Peewee,Flight 1,Playoffs Rep,North Shore Female
PP9506,Thursday,2015-02-05,18:30:00,19:45:00,Abbotsford Female Peewee C1,Langley Girls Peewee C2,MSA Arena - Abbotsford,Peewee,Red Group,Playoffs C Leagues,Abbotsford Female
BP9005,Thursday,2015-02-05,19:30:00,20:45:00,Surrey Female Bantam A1,Abbotsford Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue,Bantam,Flight 1,Playoffs Rep,Surrey Female
BP9708,Thursday,2015-02-05,19:30:00,21:00:00,Langley Girls Bantam C1,Vancouver Girls Bantam C1,Langley Sportsplex 2,Bantam,Blue Group,Playoffs C Leagues,Langley Girls
