Game #,Day,Date,Start,End,Home Team,Away Team,Arena
BL9508,Friday,11/21/2014,19:45,21:15,Richmond Girls Bantam C2,Surrey Female Bantam C2,Richmond Ice Centre Igloo
BL9308,Friday,11/21/2014,20:00,21:15,North Shore Female Bantam C1,Richmond Girls Bantam C1,West Vancouver Ice Arena
ML9310,Friday,11/21/2014,20:15,21:30,Tri-Cities Female Midget C3,Abbotsford Female Midget C1,Port Coquitlam Green
BL9509,Friday,11/21/2014,20:30,22:00,Burnaby Female Bantam C1,Langley Girls Bantam C1,Burnaby Lake Arena
ML9010,Friday,11/21/2014,20:30,22:00,Richmond Girls Midget A1,Surrey Female Midget A1,Minoru Arena Silver Spectrum
PL9511,Saturday,11/22/2014,8:30,9:45,Vancouver Girls Peewee C1,North Shore Female Peewee C2,Killarney Community Centre
PL9512,Saturday,11/22/2014,8:45,10:00,Surrey Female Peewee C1,Tri-Cities Female Peewee C2,Planet Ice Delta Canadian
NL9002,Saturday,11/22/2014,9:00,10:15,Langley Girls Novice C1,Richmond Girls Novice C2,Langley Sportsplex 1
PL9312,Saturday,11/22/2014,9:45,11:00,North Shore Winter Club Female Peewee C1,Tri-Cities Female Peewee C1,North Shore Winter Club
BL9008,Saturday,11/22/2014,10:00,11:15,Vancouver Girls Bantam A1,Richmond Girls Bantam A1,Killarney Community Centre
PL9008,Saturday,11/22/2014,11:00,12:15,North Shore Female Peewee A1,Richmond Girls Peewee A1,Ice Sports North Shore 1 Red
ML9311,Saturday,11/22/2014,11:30,12:45,Vancouver Girls Midget C1,North Shore Winter Club Female Midget C1,Killarney Community Centre
AL9521,Saturday,11/22/2014,11:45,13:00,Richmond Girls Atom C3,North Shore Female Atom C3,Richmond Ice Centre Pond
AL9305,Saturday,11/22/2014,14:30,15:30,Burnaby Female Atom C1,North Shore Winter Club Female Atom C1,Burnaby Lake Arena
BL9510,Saturday,11/22/2014,15:30,16:45,Surrey Female Bantam C2,Abbotsford Female Bantam C1,North Surrey Arena 2
BL9511,Saturday,11/22/2014,16:45,18:15,Langley Girls Bantam C1,Vancouver Girls Bantam C1,George Preston Recreation Centre
ML9012,Saturday,11/22/2014,17:00,18:30,Western Washington Female Midget A1,Tri-Cities Female Midget A1,Bellingham Sportsplex
PL9009,Saturday,11/22/2014,17:30,18:45,Tri-Cities Female Peewee A1,Richmond Girls Peewee A2,Coquitlam Recreation
BL9309,Saturday,11/22/2014,17:45,19:00,Richmond Girls Bantam C1,Tri-Cities Female Bantam C1,Richmond Ice Centre Igloo
ML9314,Saturday,11/22/2014,20:45,22:00,Tri-Cities Female Midget C1,North Shore Female Midget C1,Coquitlam Main
NL9305,Sunday,11/23/2014,8:30,9:30,Meadow Ridge Female Novice C1,Tri-Cities Female Novice C1,Pitt Meadows Arena Volkswagen Blue
NL9306,Sunday,11/23/2014,8:45,10:00,North Shore Female Novice C2,Abbotsford Female Novice C1,Ice Sports North Shore 2 Blue
AL9505,Sunday,11/23/2014,9:15,10:30,North Shore Female Atom C4,Tri-Cities Female Atom C3,Ice Sports North Shore 1 Red
AL9306,Sunday,11/23/2014,9:45,11:00,Meadow Ridge Female Atom C1,Surrey Female Atom C2,Pitt Meadows Arena Volkswagen Blue
NL9003,Sunday,11/23/2014,10:30,11:45,Surrey Female Novice C1,Vancouver Girls Novice C1,Newton Arena
