Game #,Day,Date,Start,End,Home Team,Away Team,Arena
BL9035,Thursday,01/15/2015,19:30,20:45,Surrey Female Bantam A1,Richmond Girls Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue
BL9037,Friday,01/16/2015,19:30,20:45,North Shore Female Bantam A1,Abbotsford Female Bantam A1,Ice Sports North Shore 2 Blue
ML9053,Friday,01/16/2015,20:30,22:00,Tri-Cities Female Midget A1,Richmond Girls Midget A1,Coquitlam Recreation
BL9038,Saturday,01/17/2015,10:00,11:15,Vancouver Girls Bantam A1,North Shore Female Bantam A1,Killarney Community Centre
BL9039,Sunday,01/18/2015,15:15,16:45,Richmond Girls Bantam A1,Vancouver Girls Bantam A1,Richmond Ice Centre Coliseum
PL9055,Sunday,01/18/2015,17:30,18:45,Vancouver Girls Peewee A1,North Shore Female Peewee A1,Hillcrest Centre Arena
ML9056,Tuesday,01/20/2015,21:15,22:30,Vancouver Girls Midget A1,Richmond Girls Midget A1,Killarney Community Centre
PL9056,Wednesday,01/21/2015,18:00,19:15,Surrey Female Peewee A1,North Shore Female Peewee A1,Cloverdale Arena
ML9057,Wednesday,01/21/2015,20:15,21:45,Abbotsford Female Midget A1,Tri-Cities Female Midget A1,Matsqui Recreation Centre
ML9058,Friday,01/23/2015,19:45,21:15,Surrey Female Midget A1,Western Washington Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green
ML9059,Friday,01/23/2015,20:30,22:00,Richmond Girls Midget A1,North Shore Female Midget A1,Minoru Arena Silver Spectrum
ML9060,Friday,01/23/2015,20:30,22:00,Tri-Cities Female Midget A1,Vancouver Girls Midget A1,Coquitlam Recreation
ML9061,Saturday,01/24/2015,17:00,18:30,Western Washington Female Midget A1,Abbotsford Female Midget A1,Bellingham Sportsplex
PL9058,Saturday,01/24/2015,17:30,18:45,Tri-Cities Female Peewee A1,Richmond Girls Peewee A1,Coquitlam Recreation
PL9059,Sunday,01/25/2015,13:30,15:00,Richmond Girls Peewee A1,Richmond Girls Peewee A2,Richmond Ice Centre Coliseum
PL9061,Sunday,01/25/2015,16:45,18:00,Abbotsford Female Peewee A1,Vancouver Girls Peewee A1,Abbotsford Centre Ice 1 Blue
ML9062,Sunday,01/25/2015,17:15,18:45,North Shore Female Midget A1,Surrey Female Midget A1,West Vancouver Ice Arena
AL9300,,,,,Tri-Cities Female Atom C2,Richmond Girls Atom C2,
AL9515,,,,,Vancouver Girls Atom C1,North Shore Female Atom C4,
BL9010,,,,,Surrey Female Bantam A1,Vancouver Girls Bantam A1,
BL9015,,,,,Surrey Female Bantam A1,Richmond Girls Bantam A1,
BL9019,,,,,Richmond Girls Bantam A1,Vancouver Girls Bantam A1,
BL9026,,,,,Abbotsford Female Bantam A1,North Shore Female Bantam A1,
BL9034,,,,,Richmond Girls Bantam A1,North Shore Female Bantam A1,
BL9036,,,,,Abbotsford Female Bantam A1,Surrey Female Bantam A1,
BL9300,,,,,Meadow Ridge Female Bantam C1,North Shore Female Bantam C1
BL9500,,,,,Tri-Cities Female Bantam C2,Surrey Female Bantam C2
BL9506,,,,,Vancouver Girls Bantam C1,Burnaby Female Bantam C1
BL9515,,,,,Richmond Girls Bantam C2,Burnaby Female Bantam C1
BL9516,,,,,Burnaby Female Bantam C1,Surrey Female Bantam C2
BL9518,,,,,Langley Girls Bantam C1,Abbotsford Female Bantam C1
BL9524,,,,,Surrey Female Bantam C2,Tri-Cities Female Bantam C2
BL9527,,,,,Vancouver Girls Bantam C1,Surrey Female Bantam C2
BL9539,,,,,Langley Girls Bantam C1,Surrey Female Bantam C2
BL9540,,,,,Abbotsford Female Bantam C1,Langley Girls Bantam C1
ML9000,,,,,Vancouver Girls Midget A1,Western Washington Female Midget A1
ML9004,,,,,Tri-Cities Female Midget A1,Surrey Female Midget A1
ML9009,,,,,Surrey Female Midget A1,Abbotsford Female Midget A1
ML9016,,,,,Surrey Female Midget A1,Western Washington Female Midget A1
ML9024,,,,,Richmond Girls Midget A1,Western Washington Female Midget A1
ML9025,,,,,Tri-Cities Female Midget A1,North Shore Female Midget A1
ML9031,,,,,Richmond Girls Midget A1,Tri-Cities Female Midget A1
ML9036,,,,,Abbotsford Female Midget A1,Western Washington Female Midget A1
ML9042,,,,,Vancouver Girls Midget A1,Western Washington Female Midget A1
ML9046,,,,,Tri-Cities Female Midget A1,Surrey Female Midget A1
ML9051,,,,,Surrey Female Midget A1,Abbotsford Female Midget A1
ML9054,,,,,Western Washington Female Midget A1,Tri-Cities Female Midget A1
ML9055,,,,,North Shore Female Midget A1,Western Washington Female Midget A1
ML9313,,,,,North Shore Winter Club Female Midget C1,Langley Girls Midget C1
ML9320,,,,,Abbotsford Female Midget C1,North Shore Winter Club Female Midget C1
ML9327,,,,,Langley Girls Midget C1,Vancouver Girls Midget C1
ML9333,,,,,North Shore Winter Club Female Midget C1,Tri-Cities Female Midget C3
ML9334,,,,,Tri-Cities Female Midget C1,Vancouver Girls Midget C1
ML9335,,,,,Langley Girls Midget C1,Abbotsford Female Midget C1
ML9341,,,,,North Shore Winter Club Female Midget C1,Vancouver Girls Midget C1
ML9342,,,,,Tri-Cities Female Midget C1,Abbotsford Female Midget C1
ML9502,,,,,Meadow Ridge Female Midget C1,Western Washington Female Midget C1
ML9511,,,,,Vancouver Girls Midget C2,Western Washington Female Midget C1
ML9512,,,,,Surrey Female Midget C1,Langley Girls Midget C2
ML9513,,,,,Western Washington Female Midget C1,Tri-Cities Female Midget C2
ML9517,,,,,South Delta Female Midget C1,Meadow Ridge Female Midget C1
ML9522,,,,,Langley Girls Midget C2,Tri-Cities Female Midget C2
ML9527,,,,,Tri-Cities Female Midget C2,Vancouver Girls Midget C2
ML9543,,,,,Tri-Cities Female Midget C2,Western Washington Female Midget C1
NL9007,,,,,Richmond Girls Novice C2,Vancouver Girls Novice C1
NL9009,,,,,Surrey Female Novice C1,Langley Girls Novice C1
NL9011,,,,,Richmond Girls Novice C1,Vancouver Girls Novice C1
NL9300,,,,,Vancouver Girls Novice C2,North Shore Winter Club Female Novice C1
NL9320,,,,,Langley Girls Novice C2,Burnaby Female Novice C1
NL9323,,,,,North Shore Winter Club Female Novice C1,Meadow Ridge Female Novice C1
PL9012,,,,,Abbotsford Female Peewee A1,Surrey Female Peewee A1
PL9017,,,,,Richmond Girls Peewee A1,Richmond Girls Peewee A2
PL9019,,,,,Abbotsford Female Peewee A1,Vancouver Girls Peewee A1
PL9027,,,,,Vancouver Girls Peewee A1,Richmond Girls Peewee A1
PL9032,,,,,Richmond Girls Peewee A2,Tri-Cities Female Peewee A1
PL9038,,,,,Richmond Girls Peewee A1,Tri-Cities Female Peewee A1
PL9039,,,,,Richmond Girls Peewee A2,Richmond Girls Peewee A1
PL9041,,,,,Vancouver Girls Peewee A1,Abbotsford Female Peewee A1
PL9045,,,,,Richmond Girls Peewee A1,Vancouver Girls Peewee A1
PL9046,,,,,Richmond Girls Peewee A2,Surrey Female Peewee A1
PL9052,,,,,Richmond Girls Peewee A1,Abbotsford Female Peewee A1
PL9053,,,,,Richmond Girls Peewee A2,Vancouver Girls Peewee A1
PL9060,,,,,Richmond Girls Peewee A2,Abbotsford Female Peewee A1
PL9062,,,,,Vancouver Girls Peewee A1,Surrey Female Peewee A1
PL9302,,,,,Meadow Ridge Female Peewee C1,North Shore Winter Club Female Peewee C1
PL9303,,,,,Burnaby Female Peewee C1,South Delta Female Peewee C1
PL9307,,,,,Tri-Cities Female Peewee C1,Meadow Ridge Female Peewee C1
PL9310,,,,,Burnaby Female Peewee C1,North Shore Winter Club Female Peewee C1
PL9315,,,,,Langley Girls Peewee C1,Meadow Ridge Female Peewee C1
PL9316,,,,,Meadow Ridge Female Peewee C1,Burnaby Female Peewee C1
PL9328,,,,,Tri-Cities Female Peewee C1,North Shore Winter Club Female Peewee C1
PL9329,,,,,Langley Girls Peewee C1,South Delta Female Peewee C1
PL9335,,,,,Tri-Cities Female Peewee C1,South Delta Female Peewee C1
PL9336,,,,,Langley Girls Peewee C1,Tri-Cities Female Peewee C1
PL9338,,,,,Burnaby Female Peewee C1,Meadow Ridge Female Peewee C1
PL9340,,,,,North Shore Winter Club Female Peewee C1,North Shore Female Peewee C1
PL9341,,,,,South Delta Female Peewee C1,North Shore Winter Club Female Peewee C1
PL9504,,,,,Surrey Female Peewee C1,Richmond Girls Peewee C1
PL9505,,,,,North Shore Female Peewee C2,Vancouver Girls Peewee C2
PL9513,,,,,North Shore Female Peewee C2,Richmond Girls Peewee C1
PL9520,,,,,Surrey Female Peewee C1,North Shore Female Peewee C2
PL9522,,,,,Tri-Cities Female Peewee C2,Richmond Girls Peewee C1
